beam_id,time_s,displacement_mm,force_N
6,28.10,0.9290,121.8
6,28.20,0.9324,122.4
6,28.30,0.9364,123.0
6,28.40,0.9402,123.5
6,28.50,0.9431,123.9
6,28.60,0.9457,124.3
6,28.70,0.9487,124.8
6,28.80,0.9524,125.4
6,28.90,0.9563,126.0
6,29.00,0.9595,126.4
6,29.10,0.9629,126.9
6,29.20,0.9666,127.5
6,29.30,0.9700,128.0
6,29.40,0.9733,128.5
6,29.50,0.9764,128.9
6,29.60,0.9794,129.4
6,29.70,0.9826,129.9
6,29.80,0.9865,130.5
6,29.90,0.9907,131.2
6,30.00,0.9939,131.6
6,30.10,0.9964,131.9
6,30.20,0.9990,132.3
6,30.30,1.0023,132.8
6,30.40,1.0060,133.4
6,30.50,1.0094,133.9
6,30.60,1.0123,134.3
6,30.70,1.0157,134.8
6,30.80,1.0193,135.4
6,30.90,1.0228,135.9
6,31.00,1.0261,136.4
6,31.10,1.0293,136.8
6,31.20,1.0325,137.3
6,31.30,1.0360,137.9
6,31.40,1.0401,138.5
6,31.50,1.0440,139.1
6,31.60,1.0469,139.4
6,31.70,1.0494,139.8
6,31.80,1.0521,140.2
6,31.90,1.0554,140.7
6,32.00,1.0591,141.4
6,32.10,1.0626,141.9
6,32.20,1.0658,142.4
6,32.30,1.0694,142.9
6,32.40,1.0732,143.5
6,32.50,1.0768,144.0
6,32.60,1.0801,144.5
6,32.70,1.0831,144.9
6,32.80,1.0863,145.4
6,32.90,1.0900,145.9
6,33.00,1.0937,146.5
6,33.10,1.0968,147.0
6,33.20,1.0994,147.3
6,33.30,1.1020,147.7
6,33.40,1.1051,148.2
6,33.50,1.1087,148.8
6,33.60,1.1125,149.4
6,33.70,1.1158,149.9
6,33.80,1.1193,150.4
6,33.90,1.1230,150.9
6,34.00,1.1265,151.4
6,34.10,1.1299,151.9
6,34.20,1.1329,152.4
6,34.30,1.1358,152.8
6,34.40,1.1390,153.3
6,34.50,1.1427,153.9
6,34.60,1.1469,154.5
6,34.70,1.1502,155.0
6,34.80,1.1528,155.3
6,34.90,1.1556,155.8
6,35.00,1.1589,156.3
6,35.10,1.1628,156.9
6,35.20,1.1663,157.4
6,35.30,1.1695,157.9
6,35.40,1.1730,158.4
6,35.50,1.1766,158.9
6,35.60,1.1800,159.4
6,35.70,1.1832,159.9
6,35.80,1.1862,160.4
6,35.90,1.1892,160.8
6,36.00,1.1927,161.4
6,36.10,1.1967,162.0
6,36.20,1.2005,162.6
6,36.30,1.2033,162.9
6,36.40,1.2058,163.3
6,36.50,1.2086,163.7
6,36.60,1.2121,164.2
6,36.70,1.2158,164.8
6,36.80,1.2190,165.3
6,36.90,1.2223,165.8
6,37.00,1.2258,166.3
6,37.10,1.2294,166.9
6,37.20,1.2329,167.4
6,37.30,1.2362,167.9
6,37.40,1.2393,168.3
6,37.50,1.2426,168.8
6,37.60,1.2465,169.4
6,37.70,1.2507,170.1
6,37.80,1.2540,170.5
6,37.90,1.2564,170.8
6,38.00,1.2590,171.2
6,38.10,1.2619,171.7
6,38.20,1.2656,172.3
6,38.30,1.2693,172.8
6,38.40,1.2725,173.3
6,38.50,1.2760,173.9
6,38.60,1.2798,174.4
6,38.70,1.2834,175.0
6,38.80,1.2869,175.5
6,38.90,1.2900,175.9
6,39.00,1.2929,176.3
6,39.10,1.2962,176.8
6,39.20,1.3001,177.4
6,39.30,1.3037,178.0
6,39.40,1.3066,178.4
6,39.50,1.3092,178.7
6,39.60,1.3120,179.2
6,39.70,1.3154,179.7
6,39.80,1.3191,180.3
6,39.90,1.3226,180.8
6,40.00,1.3258,181.3
6,40.10,1.3293,181.8
6,40.20,1.3329,182.4
6,40.30,1.3363,182.9
6,40.40,1.3397,183.3
6,40.50,1.3427,183.8
6,40.60,1.3457,184.2
6,40.70,1.3492,184.7
6,40.80,1.3533,185.4
6,40.90,1.3570,186.0
6,41.00,1.3598,186.3
